tick_id,timestamp,second_bucket,records_in_tick
1,2025-04-22T15:47:00.237904-04:00,2025-04-22T15:47:00,400
2,2025-04-22T15:47:01.463643-04:00,2025-04-22T15:47:01,400
3,2025-04-22T15:47:01.482593-04:00,2025-04-22T15:47:01,400
4,2025-04-22T15:47:01.501541-04:00,2025-04-22T15:47:01,400
5,2025-04-22T15:47:01.521996-04:00,2025-04-22T15:47:01,400
6,2025-04-22T15:47:01.541942-04:00,2025-04-22T15:47:01,400
7,2025-04-22T15:47:01.559894-04:00,2025-04-22T15:47:01,400
8,2025-04-22T15:47:01.576849-04:00,2025-04-22T15:47:01,400
9,2025-04-22T15:47:01.594801-04:00,2025-04-22T15:47:01,400
10,2025-04-22T15:47:01.614747-04:00,2025-04-22T15:47:01,400
11,2025-04-22T15:47:01.633208-04:00,2025-04-22T15:47:01,400
12,2025-04-22T15:47:01.653155-04:00,2025-04-22T15:47:01,400
13,2025-04-22T15:47:01.671107-04:00,2025-04-22T15:47:01,400
14,2025-04-22T15:47:01.736931-04:00,2025-04-22T15:47:01,400
15,2025-04-22T15:47:01.755880-04:00,2025-04-22T15:47:01,400
16,2025-04-22T15:47:01.939923-04:00,2025-04-22T15:47:01,400
17,2025-04-22T15:47:01.958872-04:00,2025-04-22T15:47:01,400
18,2025-04-22T15:47:02.040653-04:00,2025-04-22T15:47:02,400
19,2025-04-22T15:47:02.244109-04:00,2025-04-22T15:47:02,400
20,2025-04-22T15:47:02.547161-04:00,2025-04-22T15:47:02,400
21,2025-04-22T15:47:02.567108-04:00,2025-04-22T15:47:02,400
22,2025-04-22T15:47:02.585060-04:00,2025-04-22T15:47:02,400
23,2025-04-22T15:47:02.756109-04:00,2025-04-22T15:47:02,400
24,2025-04-22T15:47:02.777053-04:00,2025-04-22T15:47:02,400
25,2025-04-22T15:47:02.795005-04:00,2025-04-22T15:47:02,400
26,2025-04-22T15:47:03.066431-04:00,2025-04-22T15:47:03,400
27,2025-04-22T15:47:03.086377-04:00,2025-04-22T15:47:03,400
28,2025-04-22T15:47:03.269886-04:00,2025-04-22T15:47:03,400
29,2025-04-22T15:47:03.290830-04:00,2025-04-22T15:47:03,400
30,2025-04-22T15:47:03.574319-04:00,2025-04-22T15:47:03,400
31,2025-04-22T15:47:03.596261-04:00,2025-04-22T15:47:03,400
32,2025-04-22T15:47:03.616207-04:00,2025-04-22T15:47:03,400
33,2025-04-22T15:47:03.784881-04:00,2025-04-22T15:47:03,400
34,2025-04-22T15:47:03.989334-04:00,2025-04-22T15:47:03,400
35,2025-04-22T15:47:04.009282-04:00,2025-04-22T15:47:04,400
36,2025-04-22T15:47:04.028231-04:00,2025-04-22T15:47:04,400
37,2025-04-22T15:47:04.302497-04:00,2025-04-22T15:47:04,400
38,2025-04-22T15:47:04.323442-04:00,2025-04-22T15:47:04,400
39,2025-04-22T15:47:04.348375-04:00,2025-04-22T15:47:04,400
40,2025-04-22T15:47:04.615661-04:00,2025-04-22T15:47:04,400
41,2025-04-22T15:47:04.634609-04:00,2025-04-22T15:47:04,400
42,2025-04-22T15:47:04.823612-04:00,2025-04-22T15:47:04,400
43,2025-04-22T15:47:04.843558-04:00,2025-04-22T15:47:04,400
44,2025-04-22T15:47:04.862508-04:00,2025-04-22T15:47:04,400
45,2025-04-22T15:47:05.126801-04:00,2025-04-22T15:47:05,400
46,2025-04-22T15:47:05.145750-04:00,2025-04-22T15:47:05,400
47,2025-04-22T15:47:05.348225-04:00,2025-04-22T15:47:05,400
48,2025-04-22T15:47:05.369169-04:00,2025-04-22T15:47:05,400
49,2025-04-22T15:47:05.551867-04:00,2025-04-22T15:47:05,400
50,2025-04-22T15:47:05.569794-04:00,2025-04-22T15:47:05,400
51,2025-04-22T15:47:05.856028-04:00,2025-04-22T15:47:05,400
52,2025-04-22T15:47:05.875974-04:00,2025-04-22T15:47:05,400
53,2025-04-22T15:47:06.064471-04:00,2025-04-22T15:47:06,400
54,2025-04-22T15:47:06.092397-04:00,2025-04-22T15:47:06,400
55,2025-04-22T15:47:06.383650-04:00,2025-04-22T15:47:06,400
56,2025-04-22T15:47:06.611230-04:00,2025-04-22T15:47:06,400
57,2025-04-22T15:47:06.815895-04:00,2025-04-22T15:47:06,400
58,2025-04-22T15:47:07.018859-04:00,2025-04-22T15:47:07,400
59,2025-04-22T15:47:07.040801-04:00,2025-04-22T15:47:07,400
60,2025-04-22T15:47:07.126572-04:00,2025-04-22T15:47:07,400
61,2025-04-22T15:47:07.330427-04:00,2025-04-22T15:47:07,400
62,2025-04-22T15:47:07.349377-04:00,2025-04-22T15:47:07,400
63,2025-04-22T15:47:07.534391-04:00,2025-04-22T15:47:07,400
64,2025-04-22T15:47:07.556332-04:00,2025-04-22T15:47:07,400
65,2025-04-22T15:47:07.839056-04:00,2025-04-22T15:47:07,400
66,2025-04-22T15:47:07.860001-04:00,2025-04-22T15:47:07,400
67,2025-04-22T15:47:07.879948-04:00,2025-04-22T15:47:07,400
68,2025-04-22T15:47:08.053484-04:00,2025-04-22T15:47:08,400
69,2025-04-22T15:47:08.074429-04:00,2025-04-22T15:47:08,400
70,2025-04-22T15:47:08.252950-04:00,2025-04-22T15:47:08,400
71,2025-04-22T15:47:08.357670-04:00,2025-04-22T15:47:08,400
72,2025-04-22T15:47:08.558640-04:00,2025-04-22T15:47:08,400
73,2025-04-22T15:47:08.577590-04:00,2025-04-22T15:47:08,400
74,2025-04-22T15:47:08.863512-04:00,2025-04-22T15:47:08,400
75,2025-04-22T15:47:08.882461-04:00,2025-04-22T15:47:08,400
76,2025-04-22T15:47:09.066477-04:00,2025-04-22T15:47:09,400
77,2025-04-22T15:47:09.086423-04:00,2025-04-22T15:47:09,400
78,2025-04-22T15:47:09.273429-04:00,2025-04-22T15:47:09,400
79,2025-04-22T15:47:09.299360-04:00,2025-04-22T15:47:09,400
80,2025-04-22T15:47:09.583600-04:00,2025-04-22T15:47:09,400
81,2025-04-22T15:47:09.602549-04:00,2025-04-22T15:47:09,400
82,2025-04-22T15:47:09.788054-04:00,2025-04-22T15:47:09,400
83,2025-04-22T15:47:09.806005-04:00,2025-04-22T15:47:09,400
84,2025-04-22T15:47:10.003497-04:00,2025-04-22T15:47:10,400
85,2025-04-22T15:47:10.023443-04:00,2025-04-22T15:47:10,400
86,2025-04-22T15:47:10.041396-04:00,2025-04-22T15:47:10,400
87,2025-04-22T15:47:10.306193-04:00,2025-04-22T15:47:10,400
88,2025-04-22T15:47:10.325143-04:00,2025-04-22T15:47:10,400
89,2025-04-22T15:47:10.508193-04:00,2025-04-22T15:47:10,400
90,2025-04-22T15:47:10.526144-04:00,2025-04-22T15:47:10,400
91,2025-04-22T15:47:10.608769-04:00,2025-04-22T15:47:10,400
92,2025-04-22T15:47:10.817443-04:00,2025-04-22T15:47:10,400
93,2025-04-22T15:47:11.015309-04:00,2025-04-22T15:47:11,400
94,2025-04-22T15:47:11.035256-04:00,2025-04-22T15:47:11,400
95,2025-04-22T15:47:11.118036-04:00,2025-04-22T15:47:11,400
96,2025-04-22T15:47:11.321-04:00,2025-04-22T15:47:11,400
97,2025-04-22T15:47:11.340946-04:00,2025-04-22T15:47:11,400
98,2025-04-22T15:47:11.626183-04:00,2025-04-22T15:47:11,400
99,2025-04-22T15:47:11.644135-04:00,2025-04-22T15:47:11,400
100,2025-04-22T15:47:11.830743-04:00,2025-04-22T15:47:11,400
101,2025-04-22T15:47:11.849692-04:00,2025-04-22T15:47:11,400
102,2025-04-22T15:47:12.039273-04:00,2025-04-22T15:47:12,400
103,2025-04-22T15:47:12.058222-04:00,2025-04-22T15:47:12,400
104,2025-04-22T15:47:12.347042-04:00,2025-04-22T15:47:12,400
105,2025-04-22T15:47:12.366989-04:00,2025-04-22T15:47:12,400
106,2025-04-22T15:47:12.553492-04:00,2025-04-22T15:47:12,400
107,2025-04-22T15:47:12.571445-04:00,2025-04-22T15:47:12,400
108,2025-04-22T15:47:12.756523-04:00,2025-04-22T15:47:12,400
109,2025-04-22T15:47:12.775472-04:00,2025-04-22T15:47:12,400
110,2025-04-22T15:47:12.858757-04:00,2025-04-22T15:47:12,400
111,2025-04-22T15:47:13.060113-04:00,2025-04-22T15:47:13,400
112,2025-04-22T15:47:13.080060-04:00,2025-04-22T15:47:13,400
113,2025-04-22T15:47:13.364325-04:00,2025-04-22T15:47:13,400
114,2025-04-22T15:47:13.383248-04:00,2025-04-22T15:47:13,400
115,2025-04-22T15:47:13.566758-04:00,2025-04-22T15:47:13,400
116,2025-04-22T15:47:13.585708-04:00,2025-04-22T15:47:13,400
117,2025-04-22T15:47:13.771211-04:00,2025-04-22T15:47:13,400
118,2025-04-22T15:47:13.790161-04:00,2025-04-22T15:47:13,400
119,2025-04-22T15:47:14.076930-04:00,2025-04-22T15:47:14,400
120,2025-04-22T15:47:14.095878-04:00,2025-04-22T15:47:14,400
121,2025-04-22T15:47:14.111836-04:00,2025-04-22T15:47:14,400
122,2025-04-22T15:47:14.278898-04:00,2025-04-22T15:47:14,400
123,2025-04-22T15:47:14.297846-04:00,2025-04-22T15:47:14,400
124,2025-04-22T15:47:14.583113-04:00,2025-04-22T15:47:14,400
125,2025-04-22T15:47:14.602035-04:00,2025-04-22T15:47:14,400
126,2025-04-22T15:47:14.787051-04:00,2025-04-22T15:47:14,400
127,2025-04-22T15:47:14.805999-04:00,2025-04-22T15:47:14,400
128,2025-04-22T15:47:14.826944-04:00,2025-04-22T15:47:14,400
